009recyborgbluraydvd,https://alltheanime.com/products/009-re-cyborg,Anime Limited,009 Re:Cyborg - Blu-ray/DVD Collector's Edition,1,Blu-ray,,ANI0014,B,LE,2015-09-14,JP,TV
10yearswithhayaomiyazakibluraydvdcombi,https://alltheanime.com/products/10-years-with-hayao-miyazaki,Anime Limited,10 Years with Hayao Miyazaki - Blu-ray/DVD combi,1,Blu-ray,,ANI0679,B,,0001-01-01,JP,TV
11eyes,https://alltheanime.com/products/11-eyes-dvd,MVM,11 Eyes - DVD,1,DVD,,MVD7157,2,,2016-09-19,JP,TV
25dimensionalseductionseason1completecollection,https://www.sentaifilmworks.com/products/816726029665-25-dimensional-seduction-season-1-complete-collection-blu-ray,Sentai Filmworks,2.5 Dimensional Seduction (Season 1) Complete Collection,1,Blu-ray,816726029665,SFBDMS100,A,,2026-02-24,JP,TV
25dimensionalseductionseason1limitededition,https://www.sentaifilmworks.com/products/816726025179-25-dimensional-seduction-season-1-limited-edition-steelbook-blu-ray,Sentai Filmworks,2.5 Dimensional Seduction (Season 1) Limited Edition SteelBook,1,Blu-ray,816726025179,SFSDMS100,A,SteelBook,2026-02-24,JP,TV
5centimeterspersecond,https://alltheanime.com/products/5-centimeters-per-second-blu-ray,Anime Limited,5 Centimeters Per Second - Blu-ray,1,Blu-ray,,ANI0583,B,,2021-03-15,JP,TV
5centimeterspersecondbluraycdsteelbook,https://alltheanime.com/products/5-centimeters-per-second-steelbook-collectors,Anime Limited,5 Centimeters Per Second - Blu-ray+CD Steelbook Collector's Edition,1,Blu-ray,,ANI0579,B,SteelBook,2020-11-30,JP,TV
7seedsseason1collection,https://www.sentaifilmworks.com/products/7-seeds-complete-collection-blu-ray,Sentai Filmworks,7 Seeds Season 1 Collection,1,Blu-ray,,SFB-SVS100,A,,2020-12-08,JP,TV
7seedsseason2collection,https://www.sentaifilmworks.com/products/7-seeds-season-2-complete-collection-blu-ray,Sentai Filmworks,7 Seeds Season 2 Collection,1,Blu-ray,,SFB-SVS200,A,,2021-05-11,JP,TV
86eightysixthecompleteseason,https://alltheanime.com/products/86-eighty-six-blu-ray,Crunchyroll,86 EIGHTY-SIX - The Complete Season - Blu-ray,1,Blu-ray,,UKCR0145,B,,2024-10-28,JP,TV
